Condo,1900000,2,2,1029,New York County,New York,Manhattan,"150 Rivington St #3g, New York, NY 10002, USA",Douglas Elliman - 575 Madison Ave,150 Rivington St #3g," New York"," NY"," 10002"," USA",Manhattan
Condo,1250000,2,2,1201,Kings County,Brooklyn,Flatbush,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",Corcoran Williamsburg Bedford,1105 Cortelyou Rd #301," Brooklyn"," NY"," 11218"," USA",Brooklyn
Condo,1395000,2,2,1182,Kings County,Brooklyn,Prospect Heights,"737 Bergen St #1b, Brooklyn, NY 11238, USA",COMPASS,737 Bergen St #1b," Brooklyn"," NY"," 11238"," USA",Brooklyn
Co-op,198000,1,1,2184,Queens County,Queens,Woodhaven,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",Monticello Real Estate Group,83-55 Woodhaven Blvd #1a," Woodhaven"," NY"," 11421"," USA",Queens
Contingent,619888,3,2,1400,New York,Richmond County,Staten Island,"35 Center Pl, Staten Island, NY 10306, USA",Better Homes and Gardens Real Estate Safari Realty,35 Center Pl," Staten Island"," NY"," 10306"," USA",Staten Island
Multi-family home,1489000,6,2.37386083602905,3780,New York,Richmond County,Staten Island,"205 Wiman Ave, Staten Island, NY 10308, USA",Ashford Homes,205 Wiman Ave," Staten Island"," NY"," 10308"," USA",Staten Island
Townhouse,65000000,3,2.37386083602905,15200,New York,New York County,New York,"4 E 79th St, New York, NY 10075, USA",Sotheby's International Realty - East Side Manhattan Brokerage,4 E 79th St," New York"," NY"," 10075"," USA",Manhattan
Condo,1595000,3,3,1413,New York,Kings County,Brooklyn,"924 Lafayette Ave, Brooklyn, NY 11221, USA",Serhant,924 Lafayette Ave," Brooklyn"," NY"," 11221"," USA",Brooklyn
Condo,655000,3,2,803,New York,Kings County,Brooklyn,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",Douglas Elliman - 575 Madison Ave,1504 Jefferson Ave," Brooklyn"," NY"," 11237"," USA",Brooklyn
Condo,1175000,2,2,1115,Kings County,Brooklyn,Bedford-Stuyvesant,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",Serhant,924 Lafayette Ave #2," Brooklyn"," NY"," 11221"," USA",Brooklyn
Multi-family home,2880000,9,2.37386083602905,2350,New York,Queens County,Queens,"16-33 166th St, Flushing, NY 11357, USA",E Realty International Corp,16-33 166th St," Flushing"," NY"," 11357"," USA",Queens
Multi-family home,798000,3,4,2150,New York,Richmond County,Staten Island,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",Momentum Real Estate LLC,425 Father Capodanno Blvd," Staten Island"," NY"," 10305"," USA",Staten Island
Land,1685000,3,2.37386083602905,2184,New York,Queens County,Queens,"519 Fairview Ave, Ridgewood, NY 11385, USA","Apaus, Inc",519 Fairview Ave," Ridgewood"," NY"," 11385"," USA",Queens
Condo,31000000,3,4,4492,New York County,New York,Manhattan,"111 W 57th St #50, New York, NY 10019, USA",Corcoran Chelsea/Flatiron,111 W 57th St #50," New York"," NY"," 10019"," USA",Manhattan
Land,2550000,3,2.37386083602905,2184,New York,Kings County,Brooklyn,"234 Ocean View Ave, Brooklyn, NY 11235, USA","Dom Realty, Inc",234 Ocean View Ave," Brooklyn"," NY"," 11235"," USA",Brooklyn
Land,119000,3,2.37386083602905,2184,New York,Bronx County,The Bronx,"3652 De Reimer Ave, Bronx, NY 10466, USA",Meyers Enterprise Realty Group,3652 De Reimer Ave," Bronx"," NY"," 10466"," USA",Bronx
Foreclosure,269000,5,2,2184,New York,Queens County,Queens,"241-49 148th Dr, Jamaica, NY 11422, USA",Gosen Properties Inc,241-49 148th Dr," Jamaica"," NY"," 11422"," USA",Queens
Condo,1650000,2,2,1065,New York County,New York,Manhattan,"200 E 94th St APT 414, New York, NY 10128, USA",Douglas Elliman - 575 Madison Ave,200 E 94th St APT 414," New York"," NY"," 10128"," USA",Manhattan
Condo,1650000,2,2,1065,New York County,New York,Manhattan,"200 E 94th St APT 414, New York, NY 10128, USA",Douglas Elliman - 575 Madison Ave,200 E 94th St APT 414," New York"," NY"," 10128"," USA",Manhattan
Townhouse,12950000,5,4,3344,New York,New York County,New York,"214 W 11th St, New York, NY 10014, USA",COMPASS,214 W 11th St," New York"," NY"," 10014"," USA",Manhattan
Condo,5750000,3,2,2223,New York County,New York,Manhattan,"250 E 21st St #12b, New York, NY 10010, USA",Brown Harris Stevens - 1926 Broadway,250 E 21st St #12b," New York"," NY"," 10010"," USA",Manhattan
Multi-family home,250000,5,2,2184,New York,Queens County,Queens,"130-24 150th St, Jamaica, NY 11436, USA",Sowae Corp,130-24 150th St," Jamaica"," NY"," 11436"," USA",Queens
Pending,950000,6,2.37386083602905,3384,Queens County,Queens,Jamaica,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",Charles Rutenberg Realty Inc,254-06 Craft Ave #2," Jamaica"," NY"," 11422"," USA",Queens
House,585000,3,2,1100,New York,Richmond County,Staten Island,"192 Colfax Ave, Staten Island, NY 10306, USA",Keller Williams Realty Empire,192 Colfax Ave," Staten Island"," NY"," 10306"," USA",Staten Island
House,8750000,6,6,2184,New York,Kings County,Brooklyn,"8200 Narrows Ave, Brooklyn, NY 11209, USA",BROWN HARRIS STEVENS BROOKLYN LLC,8200 Narrows Ave," Brooklyn"," NY"," 11209"," USA",Brooklyn
House,595000,3,1,1316,New York,Kings County,Brooklyn,"1509 E 48th St, Brooklyn, NY 11234, USA","Tom Marco Real Estate, Inc.",1509 E 48th St," Brooklyn"," NY"," 11234"," USA",Brooklyn
Condo,215000,1,1,625,New York County,New York,Manhattan,"195 Prince St #1r, New York, NY 10012, USA",Engel & Volkers Brownstone Brooklyn,195 Prince St #1r," New York"," NY"," 10012"," USA",Manhattan
,950000,1,1,621,New York,New York County,New York,"218 W 103rd St, New York, NY 10025, USA",Built by Toll Brothers,218 W 103rd St," New York"," NY"," 10025"," USA",Manhattan
House,314000,3,1,1572,New York,Kings County,Brooklyn,"850 E 39th St, Brooklyn, NY 11210, USA",Sowae Corp,850 E 39th St," Brooklyn"," NY"," 11210"," USA",Brooklyn
Condo,395000,5,1,1000,New York,New York County,New York,"110 E 71st St, New York, NY 10021, USA",Brown Harris Stevens,110 E 71st St," New York"," NY"," 10021"," USA",Manhattan
Multi-family home,600000,2,2,2184,New York,Bronx County,The Bronx,"1406 Mac Donough Pl, Bronx, NY 10465, USA",Prospes Real Estate Corp,1406 Mac Donough Pl," Bronx"," NY"," 10465"," USA",Bronx
Multi-family home,790000,6,3,2520,New York,Richmond County,Staten Island,"78 Mountainview Ave, Staten Island, NY 10314, USA",EXP Realty,78 Mountainview Ave," Staten Island"," NY"," 10314"," USA",Staten Island
Co-op,539000,2,2,1100,Kings County,Brooklyn,Fort Hamilton,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",STROFFOLINO REALTY LLC,9425 Shore Rd #4f," Brooklyn"," NY"," 11209"," USA",Brooklyn
Co-op,1295000,4,2,1995,Bronx County,The Bronx,Spuyten Duyvil,"2501 Palisade Ave #2, Bronx, NY 10463, USA",Douglas Elliman - 3544 Johnson Ave,2501 Palisade Ave #2," Bronx"," NY"," 10463"," USA",Bronx
House,245000,3,1,2184,New York,Bronx County,The Bronx,"2942 Lurting Ave, Bronx, NY 10469, USA",Sowae Corp,2942 Lurting Ave," Bronx"," NY"," 10469"," USA",Bronx
House,400000,7,3,2385,New York,Bronx County,The Bronx,"340 E 234th St, Bronx, NY 10470, USA",Americas Real Estate Advisors,340 E 234th St," Bronx"," NY"," 10470"," USA",Bronx
House,55000000,8,8,12000,New York,New York County,New York,"25 Riverside Dr, New York, NY 10023, USA",Douglas Elliman - 575 Madison Ave,25 Riverside Dr," New York"," NY"," 10023"," USA",Manhattan
Co-op,280000,1,1,1000,Kings County,Brooklyn,Bay Ridge,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",Brown Harris Stevens,8015 6th Ave Apt A1," Brooklyn"," NY"," 11209"," USA",Brooklyn
House,899000,3,2,1440,New York,Richmond County,Staten Island,"40 Adelphi Ave, Staten Island, NY 10309, USA",Top Choice Realty LLC,40 Adelphi Ave," Staten Island"," NY"," 10309"," USA",Staten Island
,2280000,2,2,1400,New York,New York County,New York,"218 W 103rd St, New York, NY 10025, USA",Built by Toll Brothers,218 W 103rd St," New York"," NY"," 10025"," USA",Manhattan
Coming Soon,649000,4,3,2184,New York,Kings County,Brooklyn,"194 Carroll St, Brooklyn, NY 11231, USA",Cross Country Realty,194 Carroll St," Brooklyn"," NY"," 11231"," USA",Brooklyn
Pending,739000,6,4,2184,New York,Kings County,Brooklyn,"38 Dare Ct, Brooklyn, NY 11229, USA",Charles Rutenberg Realty Inc,38 Dare Ct," Brooklyn"," NY"," 11229"," USA",Brooklyn
House,1495000,4,2.37386083602905,3000,New York,Richmond County,Staten Island,"31 4 Ct, Staten Island, NY 10312, USA",AmeriHomes Realty,31 4 Ct," Staten Island"," NY"," 10312"," USA",Staten Island
House,3950000,5,2,3528,New York,Kings County,Brooklyn,"591 4th St, Brooklyn, NY 11215, USA",Douglas Elliman - 187 Seventh Ave,591 4th St," Brooklyn"," NY"," 11215"," USA",Brooklyn
Condo,325000,2,1,979,New York County,New York,Manhattan,"122 E 102nd St #5b, New York, NY 10029, USA",Avenues - Headquarters,122 E 102nd St #5b," New York"," NY"," 10029"," USA",Manhattan
Pending,299999,3,1,2184,New York County,New York,Manhattan,"215 W 75th St #4d, New York, NY 10023, USA",Corcoran Chelsea/Flatiron,215 W 75th St #4d," New York"," NY"," 10023"," USA",Manhattan
Townhouse,2695000,6,5,4720,New York,New York County,New York,"327 Convent Ave, New York, NY 10031, USA",Sotheby's International Realty - East Side Manhattan Brokerage,327 Convent Ave," New York"," NY"," 10031"," USA",Manhattan
Pending,4800000,6,2.37386083602905,3958,New York,Kings County,Brooklyn,"1151 83rd St, Brooklyn, NY 11228, USA",NoBroker,1151 83rd St," Brooklyn"," NY"," 11228"," USA",Brooklyn
House,694000,3,3,1360,New York,Richmond County,Staten Island,"364 Armstrong Ave, Staten Island, NY 10308, USA",Compass Realty Central Inc.,364 Armstrong Ave," Staten Island"," NY"," 10308"," USA",Staten Island
House,688888,4,2,2846,New York,Bronx County,The Bronx,"761 S Oak Dr, Bronx, NY 10467, USA",Douglas Elliman - 3544 Johnson Ave,761 S Oak Dr," Bronx"," NY"," 10467"," USA",Bronx
House,400000,4,2,1980,New York,Kings County,Brooklyn,"781 Shepherd Ave, Brooklyn, NY 11208, USA",Sowae Corp,781 Shepherd Ave," Brooklyn"," NY"," 11208"," USA",Brooklyn
Multi-family home,346000,5,2,2184,New York,Queens County,Queens,"103-12 104th St, Jamaica, NY 11417, USA",Sowae Corp,103-12 104th St," Jamaica"," NY"," 11417"," USA",Queens
House,400000,4,2,1980,New York,Kings County,Brooklyn,"781 Shepherd Ave, Brooklyn, NY 11208, USA",Sowae Corp,781 Shepherd Ave," Brooklyn"," NY"," 11208"," USA",Brooklyn
Multi-family home,346000,5,2,2184,New York,Queens County,Queens,"103-12 104th St, Jamaica, NY 11417, USA",Sowae Corp,103-12 104th St," Jamaica"," NY"," 11417"," USA",Queens
House,265000,3,1,2184,New York,Queens County,Queens,"135-38 224th St, Jamaica, NY 11413, USA",Sowae Corp,135-38 224th St," Jamaica"," NY"," 11413"," USA",Queens
House,319000,3,2,1224,New York,Richmond County,Staten Island,"57 Neutral Ave, Staten Island, NY 10306, USA",Winzone Realty Inc,57 Neutral Ave," Staten Island"," NY"," 10306"," USA",Staten Island
Townhouse,24800000,6,8,2184,New York,New York County,New York,"45 E 74th St, New York, NY 10021, USA",Corcoran East Side,45 E 74th St," New York"," NY"," 10021"," USA",Manhattan
House,1100000,9,4,3276,New York,New York County,New York,"421 W 154th St, New York, NY 10032, USA",Exp Realty,421 W 154th St," New York"," NY"," 10032"," USA",Manhattan
Multi-family home,309000,6,2,2184,New York,Queens County,Queens,"29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",Sowae Corp,29-18 Brookhaven Ave," Far Rockaway"," NY"," 11691"," USA",Queens
House,650000,3,2,1522,New York,Queens County,Queens,"237-14 93rd Rd, Jamaica, NY 11426, USA",Keller Williams Realty Liberty,237-14 93rd Rd," Jamaica"," NY"," 11426"," USA",Queens
House,799000,4,2,1975,New York,Richmond County,Staten Island,"604 Lamont Ave, Staten Island, NY 10312, USA",Rise Realty,604 Lamont Ave," Staten Island"," NY"," 10312"," USA",Staten Island
